2026-07-04 16:17:37 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-3.html [200]
2026-07-04 16:17:38 | INFO     | scraper.fetcher | Page 3 fetched
2026-07-04 16:17:39 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-4.html
2026-07-04 16:17:39 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-4.html [200]
2026-07-04 16:17:39 | INFO     | scraper.fetcher | Page 4 fetched
2026-07-04 16:17:40 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-5.html
2026-07-04 16:17:41 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-5.html [200]
2026-07-04 16:17:41 | INFO     | scraper.fetcher | Page 5 fetched
2026-07-04 16:17:42 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-6.html
2026-07-04 16:17:43 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-6.html [200]
2026-07-04 16:17:43 | INFO     | scraper.fetcher | Page 6 fetched
2026-07-04 16:17:44 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-7.html
2026-07-04 16:17:44 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-7.html [200]
2026-07-04 16:17:44 | INFO     | scraper.fetcher | Page 7 fetched
2026-07-04 16:17:45 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-8.html
2026-07-04 16:17:46 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-8.html [200]
2026-07-04 16:17:46 | INFO     | scraper.fetcher | Page 8 fetched
2026-07-04 16:17:47 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-9.html
2026-07-04 16:17:47 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-9.html [200]
2026-07-04 16:17:47 | INFO     | scraper.fetcher | Page 9 fetched
2026-07-04 16:17:48 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-10.html
2026-07-04 16:17:49 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-10.html [200]
2026-07-04 16:17:49 | INFO     | scraper.fetcher | Page 10 fetched
2026-07-04 16:17:50 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-11.html
2026-07-04 16:17:51 | INFO     | scraper.fetcher | Fetched successfully: https://books.toscrape.com/catalogue/page-11.html [200]
2026-07-04 16:17:51 | INFO     | scraper.fetcher | Page 11 fetched
2026-07-04 16:17:52 | INFO     | scraper.fetcher | Fetching: https://books.toscrape.com/catalogue/page-12.html
